Study_number,Authors,Title,Source,Volume,Issue,BP,EP,PubYear,Notes,Citations,DE,DLD,DOI,nonEnglish,Rank,SearchDate,SearchTerm
25,"RODRIGUE.R; CURL, EA; FUNDERBU.HH",EFFECT OF PARAQUAT ON GROWTH OF SCLEROTIUM ROLFSII IN LIQUID CULTURE AND SOIL,PHYTOPATHOLOGY,57,8,911,&,1967,,25,,,,N,4,9/26/2008,"Topic=(""soil co2 evolution"" not ""soil respiration"")"
26,"SALONIUS, PO; ROBINSON, JB; CHASE, FE",A COMPARISON OF AUTOCLAVED AND GAMMA-IRRADIATED SOILS AS MEDIA FOR MICROBIAL COLONIZATION EXPERIMENTS,PLANT AND SOIL,27,2,239,&,1967,,80,,,,N,4,9/26/2008,"Topic=(""soil respiration"")"
27,"SCHULZE, ED",SOIL RESPIRATION OF TROPICAL VEGETATION TYPES,ECOLOGY,48,4,652,&,1967,,31,Y,Y,,N,2,9/26/2008,"Topic=(""soil respiration"")"
28,"WIANT, HV",HAS CONTRIBUTION OF LITTER DECAY TO FOREST SOIL RESPIRATION BEEN OVERESTIMATED,JOURNAL OF FORESTRY,65,6,408,&,1967,,26,N,Y,,N,2,9/26/2008,"Topic=(""soil respiration"")"
29,"WIANT, HV",INFLUENCE OF MOISTURE CONTENT ON SOIL RESPIRATION,JOURNAL OF FORESTRY,65,12,902,&,1967,,28,N,Y,,N,1,9/26/2008,"Topic=(""soil respiration"")"
30,"WIANT, HV",INFLUENCE OF TEMPERATURE ON RATE OF SOIL RESPIRATION,JOURNAL OF FORESTRY,65,7,489,&,1967,,45,N,Y,,N,1,9/26/2008,"Topic=(""soil respiration"")"
31,"ABDELMAL.Y; NAGUIB, AI; GUIRGUIS, MA",EFFECT OF ORGANIC MATTER-ADDITIONS ON SOIL RESPIRATION SOIL NITROGEN AND MICROBIAL ACTIVITY,ANNALES DE L INSTITUT PASTEUR,115,4,657,&,1968,Not on shelf-?,2,,,,N,2,9/26/2008,"Topic=(""soil respiration"")"
32,DOMMERGU.Y,SOIL CO2 EVOLUTION ITS MEASURE AND INTERPRETATION - GENERAL REVIEW,ANNALES DE L INSTITUT PASTEUR,115,4,627,&,1968,,16,,,,N,3,9/26/2008,"Topic=(""soil co2 evolution"" not ""soil respiration"")"
33,"FUNKE, BR; HARRIS, JO",EARLY RESPIRATORY RESPONSES OF SOIL TREATED BY HEAT OR DRYING,PLANT AND SOIL,28,1,38,&,1968,,14,N,Y,,N,2,9/26/2008,"Topic=(""soil respiration"")"
34,"MEDINA, E",SOIL RESPIRATION AND PRODUCTION OF DRY MATTER IN VARIOUS TROPICAL PLANT COMMUNITIES,BERICHTE DER DEUTSCHEN BOTANISCHEN GESELLSCHAFT,81,5,159,&,1968,,5,Y,Y,,N,1,9/26/2008,"Topic=(""soil respiration"")"
35,"REINERS, WA",CARBON DIOXIDE EVOLUTION FROM FLOOR OF 3 MINNESOTA FORESTS,ECOLOGY,49,3,471,&,1968,,141,Y,Y,,N,1,9/26/2008,R&S1992
36,"Vugakov, P.S.; Popova, Y.E.P.",Carbon dioxide regime in soils of the Krasnoyarsk forest steppe,SOVIET SOIL SCIENCE,1968,,795,801,1968,,,Y,Y,,N,1,9/26/2008,R&S1992
37,"BALICKA, N; SOBIESZC.J",EFFECT OF HERBICIDES ON SOIL MECROFLORA .I. EFFECT ON NUMBER OF SOIL MICROORGANISMS IN A FIELD EXPERIMENT,ACTA MICROBIOLOGICA POLONICA SERIES B-MICROBIOLOGIA APPLICATA,1,1,3,&,1969,,5,,,,N,3,9/26/2008,"Topic=(""soil respiration"")"
38,"BARTHA, R",TRANSFORMATION OF SOLAN IN SOIL,WEED SCIENCE,17,4,471,&,1969,,7,,,,N,3,9/26/2008,"Topic=(""soil respiration"")"
39,"BROWN, A; MACFADYE.A",SOIL CARBON DIOXIDE OUTPUT AND SMALL-SCALE VEGETATION PATTERN IN A CALLUNA HEATH,OIKOS,20,1,8,&,1969,,12,Y,Y,,N,1,9/26/2008,R&S1992
40,"Ellis, R.C.",The respiration of the soil beneath some Eucalyptus forest stands as related to the productivity of the stands,Australian Journal of Soil Research,7,3,349,357,1969,,,Y,Y,10.1071/SR9690349 ,N,1,9/26/2008,R&S1992
41,"GILBERT, RG; GRIEBEL, GE",STIMULATION OF SOIL RESPIRATION BY VOLATILES FROM ALFALFA,SOIL SCIENCE SOCIETY OF AMERICA PROCEEDINGS,33,2,270,&,1969,,5,N,Y,,N,2,9/26/2008,"Topic=(""soil respiration"")"
42,"GUIRGUIS, MA; VANCURA, V; KUNC, F",OXIDATION OF PIPECOLIC ACID IN SOILS AND IN RHIZOSPHERE SOIL OF DIFFERENT PLANTS,FOLIA MICROBIOLOGICA,14,1,13,&,1969,,2,,,,N,3,9/26/2008,"Topic=(""soil respiration"")"
43,"OWENS, LD; GILBERT, RG; GRIEBEL, GE; MENZIES, JD",IDENTIFICATION OF PLANT VOLATILES THAT STIMULATE MICROBIAL RESPIRATION AND GROWTH IN SOIL,PHYTOPATHOLOGY,59,10,1468,&,1969,,38,,,,N,3,9/26/2008,"Topic=(""soil respiration"")"
44,"WITKAMP, M; FRANK, ML","EVOLUTION OF CO2 FROM LITTER, HUMUS, AND SUBSOIL OF A PINE STAND",PEDOBIOLOGIA,9,06-May,358,&,1969,,73,Y,Y,,N,1,9/26/2008,"Topic=(""soil respiration"")"
45,BALANDREAU J,TECHNIQUE OF PERFUSION IN CONTROLLED CONDITIONS IN VIEW OF THE STUDY OF NITRIFICATION IN FOREST LITTERS,Bulletin des Academie and Societe Lorraines des Sciences,9,1,5,10,1970,,0,,,,N,3,9/26/2008,"Topic=(""soil respiration"")"
46,"CLARK, BW; COLEMAN, DC",A COMPARATIVE STUDY OF EFFECTS OF ACUTE AND CHRONIC GAMMA IRRADIATION ON TOTAL SOIL RESPIRATION,PEDOBIOLOGIA,10,3,199,&,1970,,4,,,,N,3,9/26/2008,"Topic=(""soil respiration"")"
47,"IVARSON, KC; SOWDEN, FJ","EFFECT OF FROST ACTION AND STORAGE OF SOIL AT FREEZING TEMPERATURES ON FREE AMINO ACIDS, FREE SUGARS AND RESPIRATORY ACTIVITY OF SOIL",CANADIAN JOURNAL OF SOIL SCIENCE,50,2,191,&,1970,,37,N,Y,,N,2,9/26/2008,"Topic=(""soil respiration"")"
48,JENKINSON D S; POWLSON D S,RESIDUAL EFFECTS OF SOIL FUMIGATION ON SOIL RESPIRATION AND MINERALIZATION,SOIL BIOLOGY & BIOCHEMISTRY,2,2,99,108,1970,,0,N,Y,,N,1,9/26/2008,"Topic=(""soil respiration"")"
49,MACFADYEN A,SIMPLE METHODS FOR MEASURING AND MAINTAINING THE PROPORTION OF CARBON DI OXIDE IN AIR FOR USE IN ECOLOGICAL STUDIES OF SOIL RESPIRATION,Soil Biology and Biochemistry,2,1,9,18,1970,,0,,,,N,3,9/26/2008,"Topic=(""soil respiration"")"
50,"NOVAK, B",EFFECT OF FERTILIZERS ON SOIL RESPIRATION,FOLIA MICROBIOLOGICA,15,3,218,&,1970,,0,N,Y,,N,1,9/26/2008,"Topic=(""soil respiration"")"
51,PHILLIPSON J,PROCEEDINGS OF THE PARIS SYMPOSIUM OF UNESCO AND THE INTERNATIONAL BIOLOGICAL PROGRAM ON METHODS OF STUDY IN SOIL ECOLOGY SECTION ON SOIL RESPIRATION PARIS FRANCE NOVEMBER 1967,"PHILLIPSON J. (EDITED BY). METHODS OF STUDY IN SOIL ECOLOGY. PROCEEDINGS OF THE PARIS SYMPOSIUM ORGANIZED BY UNESCO AND THE INTERNATIONAL BIOLOGICAL PROGRAMME. METHODES D'ETUDE DE L'ECOLOGIE DU SOL. ACTES DU COLLOQUE DE PARIS ORGANISE PAR L'UNESCO ET LE PROGRAMME BIOLOGIQUE INTERNATIONAL. 303P. ILLUS. UNIPUB, INC.: NEW YORK, N.Y., U.S.A",,,167,172,1970,,0,,,,N,3,9/26/2008,"Topic=(""soil respiration"")"
52,SCHWENKE W; BAUMLER W; KOSCHEL H; MATSCHEK M; ROOMI M-W,THE DISTRIBUTION BIOLOGY AND ECOLOGY OF ENCHYTRAEIDAE LUMBRICIDAE ORIBATIDAE AND OF COLLEMBOLA IN THE SOIL OF CONIFEROUS FORESTS SUSCEPTIBLE AND RESISTANT TO PESTS,Anzeiger fuer Schaedlingskunde und Pflanzenschutz,43,3,33,41,1970,,0,,,,N,3,9/26/2008,"Topic=(""soil respiration"")"
53,"WANNER, H","SOIL RESPIRATION, LITTER FALL AND PRODUCTIVITY OF TROPICAL RAIN FOREST",JOURNAL OF ECOLOGY,58,2,543,&,1970,,30,N,Y,,N,1,9/26/2008,"Topic=(""soil respiration"")"
54,"WEBB, DP; AGNIHOTR.VP",PRESENCE OF A FUNGAL INHIBITOR IN PERICARPS OF ACER-SACCHARUM FRUITS,CANADIAN JOURNAL OF BOTANY,48,12,2109,&,1970,,2,,,,N,3,9/26/2008,"Topic=(""soil respiration"")"
55,"Woodwell, G.M.; Botkin, D.B.",Metabolism of terrestrial ecosystems by gas exchange techniques: the Brookhaven approach,Analysis of temperate forest ecosystems (ed: Reichle),,,,,1970,,,,,,N,1,9/26/2008,R&S1992
56,"ZELWER, M; MEDINA, E",DAILY FLUCTUATIONS IN SOIL RESPIRATION WITH ABSORPTION METHOD,ACTA CIENTIFICA VENEZOLANA,21,,30,31,1970,,0,N,Y,,Y,1,9/26/2008,"Topic=(""soil respiration"")"
57,AGNIHOTR.VP,"PERSISTENCE OF CAPTAN AND ITS EFFECTS ON MICROFLORA, RESPIRATION, AND NITRIFICATION OF A FOREST NURSERY SOIL",CANADIAN JOURNAL OF MICROBIOLOGY,17,3,377,&,1971,,29,,,,N,3,9/26/2008,"Topic=(""soil respiration"")"
58,BECK T,THE DETERMINATION OF CATALASE ACTIVITY IN SOILS,Zeitschrift fuer Pflanzenernaehrung und Bodenkunde,130,1,68,81,1971,,0,,,,N,3,9/26/2008,"Topic=(""soil respiration"")"
59,"Billès, G.; Cortez, J.; Lossaint, P.",L'activité biologique des sols dans les écosystèmes méditerranéens. (I). Minéralisation du carbone,Rev. Ecol. Biol. Sol,8,,375,395,1971,,,Y,Y,,N,1,9/26/2008,R&S1992
60,"Clymo, R.S.; Reddaway, E.J.F.",Productivity of Sphagnum (bog-moss) and peat accumulation,Hidrobiologia,12,,181,192,1971,Citation not correct?,,,N,,N,1,9/26/2008,R&S1992
61,COUTINHO L M; LAMBERTI A,SOIL RESPIRATION AND PRIMARY PRODUCTIVITY IN AN AMAZONIAN TERRA-FIRMA FOREST COMMUNITY,Ciencia e Cultura (Sao Paulo),23,3,411,419,1971,,0,Y,Y,,N,1,9/26/2008,"Topic=(""soil respiration"")"
62,"GAUR, AC; SADASIVA.KV; VIMAL, OP; MATHUR, RS","STUDY ON DECOMPOSITION OF ORGANIC MATTER IN AN ALLUVIAL SOIL - CO2 EVOLUTION, MICROBIOLOGICAL AND CHEMICAL TRANSFORMATIONS",PLANT AND SOIL,35,1,17,&,1971,,9,N,Y,,N,2,9/26/2008,"Topic=(""soil co2 evolution"" not ""soil respiration"")"
63,KIRITA H,RE EXAMINATION OF THE ABSORPTION METHOD OF MEASURING SOIL RESPIRATION UNDER FIELD CONDITIONS PART 4 AN IMPROVED ABSORPTION METHOD USING A DISC OF PLASTIC SPONGE AS ABSORBENT HOLDER,Japanese Journal of Ecology,21,04-Mar,119,127,1971,,0,N,Y,,N,1,9/26/2008,"Topic=(""soil respiration""); R&S1992"
64,KIRITA H,RE-EXAMINATION OF THE ABSORPTION METHOD OF MEASURING SOIL RESPIRATION UNDER FIELD CONDITIONS PART 2 EFFECT OF THE SIZE OF THE APPARATUS ON CARBON DI OXIDE ABSORPTION RATES,Japanese Journal of Ecology,21,02-Jan,37,42,1971,,0,N,Y,,N,1,9/26/2008,"Topic=(""soil respiration""); R&S1992"
65,KIRITA H,REEXAMINATION OF THE ABSORPTION METHOD OF MEASURING SOIL RESPIRATION UNDER FIELD CONDITIONS PART 3 COMBINED EFFECT OF THE COVERED GROUND AREA AND THE SURFACE AREA OF POTASSIUM HYDROXIDE SOLUTION ON CARBON DI OXIDE ABSORPTION RATES,Japanese Journal of Ecology,21,02-Jan,43,47,1971,,0,N,Y,,N,1,9/26/2008,"Topic=(""soil respiration""); R&S1992"
66,KIRITA H,STUDIES OF SOIL RESPIRATION IN WARM TEMPERATE EVERGREEN BROAD-LEAF FORESTS OF SOUTHWESTERN JAPAN,Japanese Journal of Ecology,21,06-May,230,244,1971,,0,Y,Y,,Y,1,9/26/2008,"Topic=(""soil respiration""); R&S1992"
67,KOBAKHIDZE K V; CHKONIYA T A; DZHAVSHANASHVILI E Z,THE EFFECT OF MANGANESE ON SOME PHYSIOLOGICAL PROCESSES OCCURRING IN THE MAIZE-M PLANT AND ACCUMULATION OF CHEMICAL SUBSTANCES IN THE KERNELS,Soobshcheniya Akademii Nauk Gruzinskoi SSR,62,1,153,155,1971,,0,,,,N,3,9/26/2008,"Topic=(""soil respiration"")"
68,"KUCERA, CL; KIRKHAM, DR",SOIL RESPIRATION STUDIES IN TALLGRASS PRAIRIE IN MISSOURI,ECOLOGY,52,5,912,&,1971,,189,Y,Y,,N,1,9/26/2008,"Topic=(""soil respiration""); R&S1992; B-L2004"
69,LAPINA L P; POPOV B A,AFTEREFFECT OF SODIUM SULFATE AND SODIUM CHLORIDE ON FUNCTIONAL ACTIVITY AND STRUCTURE OF MAIZE-M CHLOROPLASTS,Fiziologiya Rastenii (Moscow),18,2,409,414,1971,,0,,,,N,3,9/26/2008,"Topic=(""soil respiration"")"
70,MALONE C R,RESPONSES OF SOIL MICROORGANISMS TO NON-SELECTIVE VEGETATION CONTROL IN A FESCUE-M MEADOW,Soil Biology and Biochemistry,3,2,127,131,1971,,0,,,,N,4,9/26/2008,"Topic=(""soil respiration"")"
71,"NAUMANN, K",DYNAMICS OF SOIL MICROFLORA AFTER USE OF PESTICIDES .6. TESTS WITH INSECTICIDES GAMMA BENZENE HEXACHLORIDE AND TOXAPHENE,PEDOBIOLOGIA,11,4,286,&,1971,,7,,,,N,4,9/26/2008,"Topic=(""soil respiration"")"
72,"REDMANN, RE",CARBON DIXODE EXCHANGE BY NATIVE GREAT-PLAINS GRASSES,CANADIAN JOURNAL OF BOTANY-REVUE CANADIENNE DE BOTANIQUE,49,8,1341,&,1971,,8,N,Y,,N,1,9/26/2008,"Topic=(""soil respiration"")"
73,"SNEH, B; KATAN, J; HENIS, Y",MODE OF INHIBITION OF RHIZOCTONIA-SOLANI IN CHITIN-AMENDED SOIL,PHYTOPATHOLOGY,61,9,1113,&,1971,,22,,,,N,3,9/26/2008,"Topic=(""soil respiration"")"
74,"STOUT, JD",DISTRIBUTION OF SOIL BACTERIA IN RELATION TO BIOLOGICAL-ACTIVITY AND PEDOGENESIS .1. GENERAL INTRODUCTION AND FACTORS AFFECTING POPULATIONS AT TAITA EXPERIMENTAL STATION NEW-ZEALAND,NEW ZEALAND JOURNAL OF SCIENCE,14,4,816,&,1971,,6,,,,N,3,9/26/2008,"Topic=(""soil respiration"")"
75,"CRAPO, NL; COLEMAN, DC",ROOT DISTRIBUTION AND RESPIRATION IN A CAROLINA OLD FIELD,OIKOS,23,1,137,&,1972,,29,N,Y,,N,2,9/26/2008,"Topic=(""soil respiration"")"
76,DE JONG E; SCHAPPERT H J V,CALCULATION OF SOIL RESPIRATION AND ACTIVITY FROM CARBON DI OXIDE PROFILES IN THE SOIL,Soil Science,113,5,328,333,1972,,0,Y,Y,,N,1,9/26/2008,"Topic=(""soil respiration"")"
77,"FROMENT, A",SOIL RESPIRATION IN A MIXED OAK FOREST,OIKOS,23,2,273,277,1972,,48,Y,Y,,N,1,9/26/2008,"Topic=(""soil respiration"")"
78,"Havas, P; Mäenpää, E.",Evolution of carbon dioxide at the floor of a Hylocomium Myrtillus type spruce forest,Aquillo Ser. Bot.,11,,4,22,1972,,,Y,Y,,N,1,9/26/2008,R&S1992
79,"IMSHENET.AA; MURZAKOV, BG; SUROVOV, VK",EFFECT OF SOIL RESPIRATION APPLIED FOR DETECTION OF EXTRATERRESTRIAL LIFE,MIKROBIOLOGIYA,41,6,1086,1090,1972,,1,,,,N,4,9/26/2008,"Topic=(""soil respiration"")"
80,IMSHENETSKII A A; MURZAKOV B G; SUROVOV V K,USE OF THE SOIL RESPIRATION EFFECT IN SEARCHING FOR EXTRATERRESTRIAL LIFE,Microbiology (New York),41,6,962,965,1972,,0,,,,N,4,9/26/2008,"Topic=(""soil respiration"")"
81,JAGNOW G,SOIL RESPIRATION NITROGEN MINERALIZATION AND HUMUS DECOMPOSITION OF EAST AFRICAN SOILS AFTER DRYING AND RE MOISTENING,ZEITSCHRIFT FUR PFLANZENERNAHRUNG UND BODENKUNDE,131,1,56,66,1972,,0,N,Y,,N,2,9/26/2008,"Topic=(""soil respiration"")"
82,"JONG, ED; SCHAPPER.HJ",CALCULATION OF SOIL RESPIRATION AND ACTIVITY FROM CO2 PROFILES IN SOIL,SOIL SCIENCE,113,5,328,&,1972,,5,,,,N,4,9/26/2008,"Topic=(""soil respiration"")"
83,JUNG J,THE EFFECT OF THE HERBICIDE BENTAZON ON SOIL RESPIRATION AND NITRIFICATION IN 2 TYPES OF SOIL,Zeitschrift fuer Pflanzenernaehrung und Bodenkunde,133,02-Jan,18,23,1972,,0,,,,N,3,9/26/2008,"Topic=(""soil respiration"")"
84,KAYAMA R; YANO N; FUJIMOTO M,STUDIES ON THE RELATIONSHIP BETWEEN MISCANTHUS-SINENSIS COMMUNITY AND SOIL PART 4 RELATIONSHIP BETWEEN HUMUS AND PRODUCTIVITY OF MISCANTHUS-SINENSIS GRASSLAND,Japanese Journal of Ecology,22,5,195,204,1972,,0,N,Y,,N,2,9/26/2008,"Topic=(""soil respiration"")"
85,KLEIN D A; SOKOL R A; FRYE M H; TELLER H L,SOIL MICROBIAL RAMIFICATIONS OF SILVER IODIDE USE IN WEATHER MODIFICATION,Abstracts of the Annual Meeting of the American Society for Microbiology,72,,1972,,1972,,0,,,,N,3,9/26/2008,"Topic=(""soil respiration"")"
86,"KLEIN, DA; SEAMAN, SL; MAYEUX, PA",SIMPLIFIED UNIT FOR EVALUATION OF SOIL CORE RESPIROMETRIC ACTIVITY,PLANT AND SOIL,36,1,177,&,1972,,12,,,,N,4,9/26/2008,"Topic=(""soil respiration"")"
87,KRZYSCH G,CARBON DI OXIDE BALANCE AND DRY MATTER PRODUCTION IN A BEET CROP PART 1 CONTROL OF DRY MATTER PRODUCTION BY MEANS OF THE GRADIENT METHOD,Zeitschrift fuer Acker- und Pflanzenbau,136,1,55,84,1972,,0,,,,N,3,9/26/2008,"Topic=(""soil respiration"")"
88,SEAMAN S L,PLANT LEACHATES EFFECTS ON SOIL RESPIRATION,US-IBP (International Biological Program) Analyses of Ecosystems Program Interbiome Abstracts,2,1,86,87,1972,,0,,,,N,2,9/26/2008,"Topic=(""soil respiration"")"
89,"TU, CM",EFFECT OF 4 NEMATOCIDES ON ACTIVITIES OF MICROORGANISMS IN SOIL,APPLIED MICROBIOLOGY,23,2,398,&,1972,,27,,,,N,3,9/26/2008,"Topic=(""soil respiration"")"
90,VIRZO DE SANTO A; ALFANI A,ANNUAL SOIL RESPIRATION CYCLE IN A BEECH FOREST AT MONTE TABURNO ITALY CAMPANIAN APENNINES IN RELATION TO PRINCIPAL ECOLOGICAL FACTORS,Delpinoa,14-15,,13,34,1972,,0,Y,Y,,N,1,9/26/2008,"Topic=(""soil respiration"")"
91,WALTER,INFLUENCE OF HERBICIDES ON THE SOIL RESPIRATION AND ENZYME ACTIVITY OF VINEYARD SOIL,Mitteilungen aus der Biologischen Bundesanstalt fur Land- und Forstwirtschaft,146,,169,171,1972,,0,,,,N,3,9/26/2008,"Topic=(""soil respiration"")"
92,"ANDERSON, JP; DOMSCH, KH",QUANTIFICATION OF BACTERIAL AND FUNGAL CONTRIBUTIONS TO SOIL RESPIRATION,ARCHIV FUR MIKROBIOLOGIE,93,2,113,127,1973,Not on shelf-?,180,,,,N,1,9/26/2008,"Topic=(""soil respiration""); R&S1992"
93,"COLEMAN, DC",COMPARTMENTAL ANALYSIS OF TOTAL SOIL RESPIRATION - EXPLORATORY STUDY,OIKOS,24,3,361,366,1973,,52,N,Y,,N,1,9/26/2008,"Topic=(""soil respiration""); R&S1992"
94,"COLEMAN, DC",SOIL CARBON BALANCE IN A SUCCESSIONAL GRASSLAND,OIKOS,24,2,195,199,1973,,62,Y,Y,,N,1,9/26/2008,"Topic=(""soil respiration""); R&S1992"
95,"GARRETT, HE; COX, GS",CARBON-DIOXIDE EVOLUTION FROM FLOOR OF AN OAK-HICKORY FOREST,SOIL SCIENCE SOCIETY OF AMERICA JOURNAL,37,4,641,644,1973,,71,Y,Y,,N,1,9/26/2008,"Topic=(""soil respiration""); R&S1992"
